year	month	cpi	date	pct_from_2000	pct_yoy
2014	4	246.616	2014-04	40.04315729699036	2.40550113568887
2014	6	247.642	2014-06	40.62578080636003	1.9858331274194896
2014	8	247.185	2014-08	40.366269165247026	1.8198519568145555
2014	10	247.854	2014-10	40.74616695059626	2.087014543612309
2014	12	245.05	2014-12	39.15388983532085	1.6572981269834752
2015	2	245.496	2015-02	39.40715502555368	1.1228735016682423
2015	4	247.611	2015-04	40.608177172061325	0.4034612515003033
2015	6	251.622	2015-06	42.88586030664396	1.6071587210570115
2015	8	251.617	2015-08	42.88302101078932	1.7929890567793372
2015	10	250.831	2015-10	42.43668370244179	1.2011103310819893
2015	12	250.385	2015-12	42.18341851220897	2.177106712915733
2016	2	250.942	2016-02	42.49971607041454	2.21836608335777
2016	4	253.815	2016-04	44.13117546848382	2.505542968608032
2016	6	256.098	2016-06	45.42759795570699	1.778858764336988
2016	8	256.907	2016-08	45.8869960249858	2.1024016660241562
2016	10	256.941	2016-10	45.906303236797264	2.435903058234423
2016	12	256.821	2016-12	45.83816013628622	2.570441520059119
2017	2	259.503	2017-02	47.361158432708685	3.4115452973196847
2017	4	261.56	2017-04	48.52924474730268	3.0514351003683826
2017	6	263.756	2017-06	49.776263486655296	2.9902615405040134
2017	8	263.333	2017-08	49.536059057353796	2.5012942426636986
2017	10	264.653	2017-10	50.28563316297559	3.001467262912505
2017	12	265.85	2017-12	50.96536059057356	3.515678235035291
2018	2	268.031	2018-02	52.203861442362296	3.2862818541596894
2018	4	270.309	2018-04	53.49744463373085	3.34493041749504
2018	6	272.395	2018-06	54.68199886428165	3.275375726049834
2018	8	271.625	2018-08	54.24474730266894	3.1488647453983942
2018	10	272.805	2018-10	54.91482112436117	3.0802598119046287
2018	12	273.293	2018-12	55.19193639977287	2.7996990784276754
2019	2	275.304	2019-02	56.33390119250426	2.713492096063508
2019	4	276.765	2019-04	57.16354344122657	2.3883777454690502
2019	6	278.631	2019-06	58.223168654173755	2.289322491235146
2019	8	280.286	2019-08	59.16297558205565	3.1885872066267806
2019	10	278.682	2019-10	58.25212947189099	2.1542860284818888
2019	12	279.421	2019-12	58.67177739920499	2.2422820928454046
2020	2	282.115	2020-02	60.201590005678604	2.4739923865981117
2020	4	280.484	2020-04	59.27541169789892	1.343739273390776
2020	6	281.055	2020-06	59.599659284497456	0.8699678068843975
2020	8	284.905	2020-08	61.785917092561036	1.6479595841390582
2020	10	284.505	2020-10	61.558773424190804	2.089478330139727
2020	12	283.409	2020-12	60.93639977285633	1.4272370365863596
2021	2	286.95	2021-02	62.947189097103916	1.7138401006681514
2021	4	290.068	2021-04	64.71777399204997	3.416950699505139
2021	6	296.573	2021-06	68.41169789892106	5.521339239650591
2021	8	299.704	2021-08	70.18966496308916	5.194363033291816
2021	10	303.099	2021-10	72.1175468483816	6.535561765171094
2021	12	304.856	2021-12	73.1152754116979	7.56750844186318
2022	2	310.078	2022-02	76.08063600227143	8.059940756229311
2022	4	316.525	2022-04	79.74162407722885	9.120964739302506
2022	6	326.656	2022-06	85.49460533787622	10.143539701860927
2022	8	326.796	2022-08	85.5741056218058	9.039585724581588
2022	10	330.173	2022-10	87.4917660420216	8.93239502604759
2022	12	330.489	2022-12	87.67120954003407	8.40823208334427
2023	2	334.987	2023-02	90.22544009085749	8.033140048632937
2023	4	338.487	2023-04	92.21294718909712	6.938472474528101
2023	6	341.734	2023-06	94.05678591709255	4.615865007836972
2023	8	344.449	2023-08	95.5985235661556	5.401840903805444
2023	10	345.992	2023-10	96.47473026689383	4.791124652833512
2023	12	344.982	2023-12	95.90119250425897	4.385319935005416
2024	2	349.288	2024-02	98.34639409426464	4.26912089125846
2024	4	353.503	2024-04	100.73992049971608	4.436211730435713
2024	6	354.824	2024-06	101.49006246450882	3.8304646303850554
2024	8	355.179	2024-08	101.69165247018739	3.1151200903471787
2024	10	356.212	2024-10	102.27825099375355	2.9538255219773824
2024	12	354.348	2024-12	101.21976149914822	2.71492425691775
2025	2	358.096	2025-02	103.34809767177742	2.521701289480305
2025	4	359.4	2025-04	104.0885860306644	1.6681612320121664
2025	6	364.344	2025-06	106.8960817717206	2.683020314296658
2025	8	365.211	2025-08	107.38841567291313	2.824491312831001
2025	12	365.447	2025-12	107.52243043725156	2.5925572411934494
2026	2	372.121	2026-02	111.31232254400909	5.0156907898450065
2026	4	377.091	2026-04	114.13458262350937	5.304443501184042
